Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-07-30,Barbie,2023,https://boxd.it/4BZpN5,4.5,,"Aunque no es una película dirigida para mi, creo que esta muy bien construída y el mensaje de la película se lleva muy bien durante todas las subtramas, Ryan gosgling debe ser el actor más versátil de hollywood",,2023-07-29
2023-08-28,"I, Tonya",2017,https://boxd.it/4LuejB,5,,"La escena del juicio es increible, creo que es el mejor pedazo de actuacion de Margot Robbie que he visto, en ningun momento la senti lenta, me encanto como se rompia la cuarta pared en la pelicula, una obra maestra.

",,2023-08-27
2023-08-31,The Book of Life,2014,https://boxd.it/4Mk9vV,3.5,,"media estrella extra por cantar cielito lindo y creep, el verdadero soundtrack",,2023-08-30
2023-10-03,Black Swan,2010,https://boxd.it/4VUjHv,4,,así se siente escuchar yeezus por primera vez,,2023-10-02
2023-12-09,Shrek 2,2004,https://boxd.it/5i3J9F,5,Yes,"después de ver mil películas animadas, volves a ver shrek 2 y te preguntas porque todas las demás películas animadas y los estudios siguen a años luz de lo que se hizo aquí",,2023-12-08
2024-02-06,Ted,2012,https://boxd.it/5LOFIh,4,,Ya no hacen comedias como antesv,,2024-02-05
2024-02-11,Anyone But You,2023,https://boxd.it/5O1W3J,3,,No sabía que Haaland iba a ser el mejor personaje de la película,,2024-02-10
2024-03-22,28 Days Later,2002,https://boxd.it/66FxvP,3,,"por las cosas que había escuchado esperaba más, pero me gustó",,2024-03-22
2024-04-27,The Fall Guy,2024,https://boxd.it/6lXVcN,3.5,,"Esta película está llena de todos los arquetipos y tramas predecibles posibles, que parece una parodia pero estaba muy divertida :)",,2024-04-26
2024-05-10,Monsters University,2013,https://boxd.it/6rCy3F,3,Yes,"“no das ni un poco de terror, pero no le tienes miedo a nada” cold ass quote de una película de pixar",,2024-05-09
2024-05-25,Shutter Island,2010,https://boxd.it/6xyE0X,5,,"“Which would be worse… to live as a monster or to die as a good man?”

De Cierto modo esa frase la relaciono un poco con Taxi driver",,2024-05-24
2024-07-13,Despicable Me 4,2024,https://boxd.it/6RCrut,2,,“De hecho hay un libro de kafka que lo explica 🤓👆🏼”,,2024-07-12
2024-08-17,Limitless,2011,https://boxd.it/777NCL,3.5,,La mejor sorpresa de mi día fue no saber que Robert de niro aparecía en esta pelotilla,,2024-08-16
2024-08-19,You Again,2010,https://boxd.it/78qqXt,3.5,Yes,La única persona razonable es el hermano que juega PSP y el papá,,2024-08-18
2024-08-31,It Ends with Us,2024,https://boxd.it/7dL0x7,3,,"La verdad pense al principio que iba a ser la típica película de wattpad, pero estaba bonita me gustó",,2024-08-30
2024-09-11,The Help,2011,https://boxd.it/7iVYR7,3.5,,"EAT MY SHIT 👁️👄👁️ 

Top 3 escenas más satisfactorias",,2024-09-10
2024-09-11,Inglourious Basterds,2009,https://boxd.it/7iZWKB,5,Yes,"Los primeros 20 minutos de esta película en mi opinión es la mejor introducción de un personaje que he visto en el cine, Hans Landa se lleva por completo el protagonismo de la película",,2024-09-10
2024-09-12,12 Angry Men,1957,https://boxd.it/7jm92L,5,,"Una de las mejores películas que he visto este año, la capacidad de transmitir una historia en un solo cuarto de debe gracias a el excelente diálogo que hay durante toda la película. No es solo una cinta sobre un jurado, es un reflejo de nuestra sociedad y nuestra capacidad de condenar como seres humanos basados simplemente en nuestros prejuicios. 

Amaría poder ver esta película en forma de una obra de teatro en un futuro. 5/5",,2024-09-11
2024-09-13,Disturbia,2007,https://boxd.it/7jy1wH,3,,La forma en la que filmaron la película y ver a Shia te transporta perfectamente a lo que sentías en los 2000 viendo una película,,2024-09-12
2024-09-13,Superbad,2007,https://boxd.it/7jKV4N,5,Yes,"A ESO SE LE LLAMA ESTRATEGIA 🤓🗣️

La mejor comedia de nuestra generación y ni si quiera es un debate, todo acerca de esta película me recuerda a mi secundaria, los diálogos, la situaciones estúpidas, Mclovin",,2024-09-13
2024-09-14,The Notebook,2004,https://boxd.it/7k83ul,4.5,Yes,Ahora Sofi sabe porque al menos una vez al día le digo de forma aleatoria “WHAT DO YOU WANT 🗣️”,,2024-09-13
2024-09-19,Sorry to Bother You,2018,https://boxd.it/7mgp4D,3.5,,"La forma en la que Cassius usa su “white voice” para escalar en la pirámide laboral es un reflejo perfecto de cómo toda cultura latina, africana, etc es muchas veces mal vista en los espacios formales. La musica, bailes, peinados y toda nuestras formas de expresión. 

La película empieza con una buena trama y la sabe llevar muy bien hasta el último cuarto de película donde siento que flaquea más",,2024-09-18
2024-09-28,Air,2023,https://boxd.it/7q2853,3.5,,"Como me encantan las películas que me recuerdan que no importa que tanto lo intente negar, sigo siendo un consumista de corazón que ahora tiene ganas de comprar otras Jordan",,2024-09-27
2024-09-29,The Wild Robot,2024,https://boxd.it/7qHHWj,4,,"Simplemente hermosa. 

Siempre dreamworks siendo los mejores en historias animadas",,2024-09-28
2024-10-05,Joker: Folie à Deux,2024,https://boxd.it/7ttPbz,1.5,,"“I like some of the gaga Songs, WHAT THE FUCK DOES SHE KNOW BOUT MOVIES?”

No tan mala como la pintaron, pero ciertamente tiene muchos problemas, las partes de musical se sienten poco orgánicas y existen demasiadas en la película, es una película de cierta manera disfrutable los momentos donde no están cantando sin embargo me parece demasiado aburrida para verla de nuevo en el futuro 

Le dije a Sofi que esta película es “La la Land para drogadictos",,2024-10-04
2024-11-01,The Silence of the Lambs,1991,https://boxd.it/7Hor9Z,4.5,,"Simplemente increíble, de principio a fin es una obra que te cautiva y no te deja despegarte un segundo a la pantalla, la forma en la que se construyen las escenas de suspensos debería ser cátedra para todos los que quieren hacer este tipo de cine",,2024-11-01
2024-11-24,Red One,2024,https://boxd.it/7SOgjF,2.5,,La roca también quería hacer una película de los vengadores,,2024-11-23
2024-12-14,Kung Fu Panda,2008,https://boxd.it/82Dl8l,4,,"No me recordaba de la cantidad de memes que había en esta película, ver estas películas en retrospectiva como adulto te da una nueva perspectiva de los problemas y motivos de Po, el combate entre Tai Lung y Shifu es una de las mejores escenas animadas de todos los tiempos.",,2024-12-12
2024-12-14,Shrek 2,2004,https://boxd.it/82Dokp,5,Yes,"Sigue siendo la mejor película animada que he visto en mi vida, nada va a alcanzar el Peak de comedia y doblaje que hacen Eugenio Derbez y Alfonso Obregón, la banda sonora es perfecta y la escena de Yo quiero un héroe es el Peak de la animación",,2024-12-13
2024-12-20,2001: A Space Odyssey,1968,https://boxd.it/86ixFv,4.5,,"Es increíble pensar que esta película fue hecha en 1968, más increíble me parece la cantidad de referencias e influencia que ha tenido en nuestra cultura popular, desde caricaturas para niños hasta videojuegos. Muchas obras que fueron inspiradas por esta película de Kubrick

Es una cátedra de cómo utilizar sonido para crear ambientación y tensión a lo largo de una película en la que se sostiene con planos abiertos y largos que para la época me parece incomprensible como lograron. 

La trama es lo más flojo de la película y hay planos que en mi opinión son más largos de lo que deberían, quitando esa tensión que existía inicialmente. más parece un ejercicio de fotografía que algo que aporte a la trama. Aún así es una obra colosal que seguramente visitaré de nuevo  en un par de años",,2024-12-20
2024-12-27,Big Fat Liar,2002,https://boxd.it/8bpRP5,3,Yes,"De mis favoritas de la infancia, ya no hacen películas así",,2024-12-26
2024-12-31,The Hunger Games: Catching Fire,2013,https://boxd.it/8eBZt3,3,Yes,Mejor de lo que la recordaba pero aún así no logré conectar nunca con esta del todo,,2024-12-30
2024-12-31,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/8fcFU3,2,Yes,"La más flojita en mi opinión en especial comparándola con sus dos antecesoras, la película comete un error al no seguir explorando y tratando de hacerte empatizar con los personajes recién añadidos en la película anterior y en lugar de eso te ponen más personajes secundarios con los que no tienen un carisma suficiente para que puedas empatizar con ellos. 

Los monólogos son planos y se sienten forzados en varias partes de la película, comparándolos con los de la primera película si se siente un bajón en la calidad de escritura y la expectativa que se crea para los momentos más explosivos. 

El final también considero que es algo decepcionante ya que al ser dividida en dos partes la mayoría de tramas se cierran en esta película y no te dejan muchas incógnitas que resolver y expectativas que tener para la segunda parte, algo que por ejemplo en infinita war es hecho de manera muy buena.",,2024-12-31
2025-01-08,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/8n5wlh,3.5,,"Mucho mejor respecto a la parte 1, pero sigue acarreando los problemas de esta como la falta empatía que se desarrolla con los nuevos personajes lo que hace ciertas muertes que se sientan un poco irrelevantes 

Pd. solo hizo falta 2 juegos del hambre y una guerra civil para que Katniss se enamorara de Peeta",,2025-01-08
2025-01-10,How to Lose a Guy in 10 Days,2003,https://boxd.it/8p0uzf,4,,"Divertida, entretenida, me pasé un buen rato. Es todo lo que tienen que tener las comedia románticas y al parecer es tan difícil recrear eso hoy en día que no tenemos RomComs así de buenas",,2025-01-09
2025-01-11,Back to the Future,1985,https://boxd.it/8pQ2FN,5,Yes,"La primera vez que vi esta película fue un domingo por la tarde cuando me quedé solo con mi papá en casa. 

La estética, la vestimenta de los personajes, la trama que puede parecer simple a primera vista un clásico arquetipo del viaje del héroe. No es necesario hacer tramas enredadas y complicadas para que una película sea un 5/5 

De esto se trata el cine, poder ver una película, recordar, disfrutar y pasártelo bien por un rato sin preocupaciones.",,2025-01-10
